hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,is_repeated_guest,previous_cancellations,reserved_room_type,customer_type,adr,guest_id,guest_name,guest_email
City Hotel,88,2016,October,7,0,2,2,0.0,0,POL,0,0,A,Transient-Party,90.0,G0023,Laura Scott,david90@example.com
City Hotel,16,2015,September,5,2,1,2,2.0,0,ESP,0,0,F,Contract,165.0,G0024,Joe Schmidt,rvega@example.com
Resort Hotel,108,2017,January,12,2,5,1,0.0,0,FRA,0,0,A,Transient,49.7,G0025,Jamie Miller,elizabeth49@example.com
Resort Hotel,43,2017,August,24,1,3,2,1.0,0,GBR,0,0,F,Transient,293.0,G0026,Jonathan Cunningham,jeremybennett@example.com
Resort Hotel,0,2016,January,23,0,1,2,0.0,0,PRT,0,0,D,Transient,45.0,G0027,Ian Valencia,masontroy@example.com
Resort Hotel,33,2017,August,8,0,5,2,0.0,0,BRA,0,0,A,Transient,196.0,G0028,Alexandra Estrada,gomezmartin@example.net
Resort Hotel,3,2016,September,19,1,1,2,0.0,0,IRL,0,0,A,Transient,81.0,G0029,Stephen Banks,reynoldsdustin@example.com
City Hotel,90,2016,December,24,2,3,3,0.0,0,ITA,0,0,D,Transient,119.0,G0030,Michael Zimmerman,jennifer09@example.org
City Hotel,5,2016,June,21,0,2,2,0.0,0,PRT,0,0,D,Transient,156.0,G0031,Richard Blackburn,sherri46@example.org
City Hotel,81,2017,June,4,2,3,2,0.0,0,CHE,0,0,A,Transient,144.0,G0032,Tracy Johnson,macdonaldfrank@example.com
Resort Hotel,191,2015,August,15,0,1,2,0.0,0,PRT,0,0,A,Transient,152.6,G0033,Jessica Monroe,pwallace@example.org
City Hotel,1,2016,September,27,0,1,2,0.0,0,PRT,0,0,A,Transient,115.0,G0034,Joseph Waters,nbird@example.org
City Hotel,142,2017,May,24,0,4,2,0.0,0,FRA,0,0,A,Transient,126.0,G0035,Andrew Schmidt,andrew25@example.net
City Hotel,15,2015,October,20,0,4,3,0.0,0,FIN,0,0,A,Transient,111.6,G0036,Ralph Baker,matthewreed@example.net
City Hotel,100,2017,March,16,0,2,2,0.0,0,FRA,0,0,A,Transient,79.2,G0037,Sabrina Kirk,pamelawilliams@example.net
City Hotel,377,2016,October,14,0,2,1,0.0,0,DEU,0,0,A,Transient-Party,90.0,G0038,Edward Mitchell,ismith@example.net
City Hotel,171,2017,July,6,1,3,2,0.0,0,ITA,0,0,A,Transient,68.61,G0039,Marie Ramos,timothymaynard@example.net
Resort Hotel,56,2016,May,5,2,5,2,0.0,0,GBR,0,0,D,Contract,72.75,G0040,Amanda Briggs,zclark@example.net
Resort Hotel,0,2015,August,24,1,0,2,0.0,0,PRT,0,0,A,Transient,137.7,G0041,Christopher Aguilar,christianlisa@example.org
Resort Hotel,106,2015,September,25,2,4,3,0.0,0,CN,0,0,D,Contract,95.82,G0042,Zachary Gutierrez,alfredboyd@example.com
City Hotel,50,2016,February,21,2,3,2,0.0,0,CHE,0,0,B,Transient-Party,65.11,G0043,Kristin Fox,paul80@example.net
City Hotel,42,2017,February,2,1,3,2,0.0,0,FRA,0,0,A,Transient,90.1,G0044,Valerie Abbott,iburns@example.com
City Hotel,22,2015,November,19,0,3,2,0.0,0,ESP,0,0,A,Transient,95.0,G0045,Tiffany Graham,qmelendez@example.com
Resort Hotel,169,2016,March,31,0,3,2,0.0,0,PRT,0,0,A,Transient-Party,66.0,G0046,David Horton,buchananpatrick@example.net
City Hotel,59,2016,February,6,2,2,1,0.0,0,AUT,0,0,A,Transient-Party,51.0,G0047,Alfred Graham,marcus38@example.net
Resort Hotel,2,2016,December,14,0,0,1,0.0,0,ESP,1,0,A,Transient,0.0,G0048,Olivia Griffin,lambertjulie@example.net
City Hotel,464,2017,July,25,0,4,2,0.0,0,PRT,0,0,A,Transient-Party,107.0,G0049,Michele Wilson,baileylandry@example.net
City Hotel,104,2017,March,19,2,5,1,0.0,0,FRA,0,0,A,Transient-Party,65.0,G0050,Joshua Rivera,halejonathan@example.com
City Hotel,1,2016,April,16,2,1,2,0.0,0,CHN,0,0,A,Transient,89.0,G0051,Corey Brown,jennifer53@example.net
Resort Hotel,119,2017,February,21,2,5,3,1.0,0,POL,0,0,H,Transient,135.0,G0052,Bobby Patton,grahamjustin@example.org
Resort Hotel,3,2016,April,8,0,1,2,0.0,0,PRT,0,0,A,Transient-Party,54.0,G0053,Randy Lee,richardbeck@example.com
City Hotel,316,2016,May,26,0,3,2,0.0,0,AUT,0,0,A,Transient-Party,110.0,G0054,Jesus Moore,jimmy86@example.net
Resort Hotel,58,2015,September,25,2,5,2,0.0,0,LTU,0,0,D,Transient,80.0,G0055,Amanda Rosales,bautistasarah@example.net
City Hotel,117,2016,February,29,1,2,2,0.0,0,IRN,0,0,A,Transient-Party,86.33,G0056,Sharon Ramos,coxrebecca@example.com
City Hotel,15,2016,December,27,1,5,2,0.0,0,BRA,0,0,A,Transient-Party,70.0,G0057,Steven Barker,jonwhite@example.net
City Hotel,52,2017,March,7,0,4,2,0.0,0,ITA,0,0,A,Transient,74.8,G0058,Richard Santos,jillmendez@example.org
City Hotel,71,2015,September,22,0,3,2,0.0,0,DEU,0,0,A,Transient-Party,95.0,G0059,Linda Armstrong,victor83@example.com
City Hotel,1,2016,October,13,0,1,1,0.0,0,PRT,0,0,A,Transient,90.0,G0060,Jessica Frank,evansbrittany@example.net
Resort Hotel,241,2017,July,2,2,5,2,0.0,0,GBR,0,0,A,Contract,97.4,G0061,Alexis Owens,penny17@example.org
Resort Hotel,17,2017,July,21,0,2,2,0.0,0,USA,0,0,D,Transient,156.6,G0062,Cindy Cantrell,barajaslauren@example.org
City Hotel,29,2016,November,23,0,4,2,0.0,0,FRA,0,0,A,Transient,77.0,G0063,Paul Vazquez,michael57@example.org
City Hotel,10,2017,July,13,0,1,2,0.0,0,IRL,0,0,E,Transient,180.0,G0064,Courtney Wyatt,tamaracross@example.org
City Hotel,11,2015,August,23,2,1,2,1.0,0,ESP,0,0,A,Transient,90.0,G0065,Elizabeth Fernandez,duncandonna@example.org
Resort Hotel,47,2015,October,19,1,4,2,0.0,0,ESP,0,0,A,Transient-Party,76.8,G0066,Samuel Walsh,cbrown@example.com
City Hotel,166,2016,August,29,1,0,3,0.0,0,DEU,0,0,D,Transient,128.7,G0067,Anthony Howell,uking@example.org
City Hotel,270,2017,March,11,2,2,2,0.0,0,PRT,0,0,A,Transient,68.0,G0068,Shari Foster,taylorjennifer@example.net
City Hotel,11,2016,February,6,0,1,2,0.0,0,PRT,0,0,A,Transient,93.0,G0069,Shirley Cordova,odomapril@example.net
Resort Hotel,1,2015,December,3,0,1,1,0.0,0,ESP,0,0,A,Transient,25.0,G0070,Brett Pierce,johnbrown@example.org
City Hotel,17,2015,September,26,2,2,1,0.0,0,IRN,0,0,A,Transient-Party,170.0,G0071,Shelly Thompson,christinewalsh@example.org
City Hotel,253,2017,July,21,1,2,2,0.0,0,GBR,0,0,A,Transient-Party,99.9,G0072,Jesse Dennis,dgrant@example.net
City Hotel,418,2016,September,26,1,2,2,0.0,0,DEU,0,0,A,Transient,107.0,G0073,Mrs. Mikayla Swanson,karina17@example.com
City Hotel,57,2016,October,13,0,3,1,0.0,0,SWE,0,0,D,Transient,132.3,G0074,Kimberly Brown,andrewwalker@example.org
City Hotel,58,2016,July,15,0,1,2,2.0,0,FRA,0,0,E,Transient,182.7,G0075,Laura Casey,fpatel@example.org
City Hotel,46,2015,August,17,1,1,1,0.0,0,ESP,0,0,A,Transient-Party,60.0,G0076,Vanessa Pope,rodriguezjulie@example.com
City Hotel,7,2015,October,29,0,1,1,0.0,0,PRT,0,0,A,Transient-Party,65.0,G0077,James Reynolds,floydjohn@example.net
City Hotel,6,2017,June,8,0,1,1,0.0,0,FRA,0,0,A,Transient,120.0,G0078,Erika Norman,brianna87@example.org
City Hotel,17,2016,November,6,2,2,2,0.0,0,TWN,0,0,A,Transient,142.54,G0079,Jasmin Bennett,nhardy@example.com
Resort Hotel,227,2017,August,20,2,5,2,2.0,0,PRT,0,0,C,Transient,180.18,G0080,Heather Brown,joseph49@example.org
City Hotel,115,2016,June,6,1,2,2,0.0,0,BEL,0,0,A,Transient-Party,116.1,G0081,Linda Thomas,qhoffman@example.net
Resort Hotel,21,2017,July,14,2,5,2,0.0,0,ESP,0,0,A,Transient,212.71,G0082,Shelby Norris,reedvictor@example.net
City Hotel,139,2017,May,8,1,3,2,1.0,0,FRA,0,0,A,Transient,144.0,G0083,Larry Fisher,nwilliams@example.net
Resort Hotel,92,2015,December,31,2,5,2,0.0,0,GBR,0,0,A,Transient-Party,59.18,G0084,Sherri Roman,karenpark@example.com
Resort Hotel,221,2015,October,10,1,1,2,0.0,0,FRA,0,0,A,Transient-Party,74.0,G0085,Gabriel Anderson,evansjohn@example.org
City Hotel,0,2015,September,25,2,2,2,0.0,0,UKR,0,0,D,Transient,180.0,G0086,Angel Silva,shannonmurray@example.com
Resort Hotel,232,2017,June,8,2,5,2,0.0,0,FRA,0,0,E,Transient,156.8,G0087,Stephen Rodgers,grimeskristen@example.org
Resort Hotel,17,2016,February,4,2,4,2,0.0,0,DEU,0,0,A,Transient,29.0,G0088,Susan Brooks,nathanielcampbell@example.net
City Hotel,63,2015,November,23,1,2,2,0.0,0,FRA,0,0,D,Transient,60.0,G0089,Yvonne Garcia,erictaylor@example.net
City Hotel,56,2016,September,5,1,3,1,0.0,0,SWE,0,0,D,Transient,123.98,G0090,Michael Barton,ljensen@example.com
Resort Hotel,7,2017,May,10,0,2,1,0.0,0,PRT,0,0,A,Transient,46.0,G0091,Jessica Baker,charles68@example.org
Resort Hotel,183,2016,April,16,1,1,1,0.0,0,DEU,0,0,A,Transient-Party,54.5,G0092,Daisy Guzman,robinsonphilip@example.net
City Hotel,95,2017,July,6,0,3,2,0.0,0,PRT,0,0,A,Transient,120.0,G0093,Danielle Hill,hernandeztasha@example.com
City Hotel,70,2016,March,16,0,4,2,0.0,0,IRL,0,0,A,Transient,68.0,G0094,Jasmine Taylor,rogerskathryn@example.com
Resort Hotel,236,2017,August,26,2,5,2,0.0,1,PRT,0,0,A,Transient,124.54,G0095,Amanda Knight,duffylaura@example.com
City Hotel,10,2017,May,5,1,2,2,0.0,0,POL,0,0,A,Transient,170.0,G0096,Veronica Ballard,jimenezlisa@example.org
City Hotel,76,2017,March,27,1,5,2,0.0,0,FRA,0,0,A,Transient,96.0,G0097,Eric Irwin,michaelmarquez@example.org
City Hotel,0,2016,December,28,0,1,2,0.0,0,PRT,0,0,A,Transient,88.0,G0098,Matthew Manning,cory88@example.net
Resort Hotel,288,2015,September,2,1,4,2,0.0,0,CZE,0,0,D,Transient-Party,141.0,G0099,Tammy Shaffer,jackhamilton@example.com
City Hotel,35,2016,September,25,2,0,2,0.0,0,NLD,0,0,A,Transient-Party,117.0,G0100,Joshua Chandler,jeremy66@example.net
City Hotel,6,2017,March,30,0,1,2,0.0,0,FRA,0,0,A,Transient,118.0,G0101,Laura Torres,chadshaw@example.com
City Hotel,72,2016,April,23,1,1,2,0.0,0,FRA,0,0,D,Transient-Party,118.8,G0102,Christina Williams,johnny16@example.com
Resort Hotel,165,2016,August,13,2,1,3,0.0,0,ESP,0,0,E,Transient,199.26,G0103,Jennifer Foster,joseph58@example.org
City Hotel,11,2015,October,23,2,2,2,0.0,0,PRT,0,0,A,Transient-Party,88.5,G0104,Joe Thomas,williambarker@example.org
City Hotel,17,2017,May,1,1,2,1,0.0,0,BEL,0,0,A,Transient,120.0,G0105,David Martinez,nleach@example.net
City Hotel,43,2016,May,21,2,2,2,0.0,0,BRA,0,0,D,Transient,140.4,G0106,Cynthia Houston,hayesjason@example.net
Resort Hotel,91,2016,May,4,0,2,2,0.0,0,FRA,0,0,A,Transient,68.0,G0107,Willie Ramirez,yeseniajohnston@example.net
City Hotel,36,2015,August,7,0,2,2,0.0,0,ESP,0,0,A,Transient-Party,62.0,G0108,Michelle Rosales,stephanie20@example.com
City Hotel,24,2016,October,3,1,0,1,0.0,0,PRT,1,0,A,Transient,95.0,G0109,Tammie Davis,ihudson@example.com
Resort Hotel,0,2017,June,1,0,2,2,0.0,0,ESP,0,0,A,Transient,90.0,G0110,Austin Schneider,hernandezheather@example.net
Resort Hotel,1,2017,May,27,2,5,2,0.0,0,DNK,0,0,A,Transient,75.43,G0111,Dwayne Hayes,heidimoon@example.net
City Hotel,12,2015,August,5,0,3,1,0.0,0,RUS,0,0,A,Transient-Party,60.0,G0112,Alicia Hopkins DDS,wendyneal@example.net
City Hotel,68,2016,October,8,2,1,2,1.0,0,FRA,0,0,A,Transient,135.0,G0113,Carrie Pham,mcconnellpatricia@example.org
Resort Hotel,245,2016,September,26,3,7,2,0.0,0,CN,0,0,A,Transient-Party,82.0,G0114,Kelsey Suarez,denisemarshall@example.com
City Hotel,5,2016,January,23,0,1,2,0.0,0,PRT,0,0,A,Transient,98.0,G0115,Jacob Rice,elizabeth81@example.net
City Hotel,128,2016,August,9,0,4,2,0.0,0,DEU,0,0,A,Transient,125.0,G0116,Jerry Christian,ufields@example.net
Resort Hotel,10,2015,August,18,2,5,2,1.0,0,PRT,0,0,A,Transient,187.0,G0117,Adam Long,matthewgraham@example.org
Resort Hotel,0,2016,February,4,0,1,1,0.0,0,NLD,1,0,A,Transient,30.0,G0118,Jennifer Santos,imartinez@example.net
City Hotel,4,2016,June,26,2,1,3,0.0,0,ESP,0,0,E,Transient,162.88,G0119,Sean Frost,iphillips@example.net
Resort Hotel,5,2017,April,18,0,1,1,0.0,0,GBR,0,0,F,Transient,0.0,G0120,Jessica Russell,jeffrey96@example.com
City Hotel,72,2015,October,28,0,3,2,0.0,0,ISR,0,0,A,Transient-Party,85.67,G0121,Elizabeth Beltran,jenny39@example.net
Resort Hotel,162,2016,April,19,0,3,2,0.0,0,POL,0,0,D,Transient,78.56,G0122,Kenneth Wilson,lloydmercedes@example.org
City Hotel,3,2017,January,16,1,0,1,0.0,0,PRT,1,0,A,Transient,65.0,G0123,Christopher Sims,sarahmadden@example.net
Resort Hotel,10,2016,November,17,1,3,3,0.0,0,IRL,0,0,A,Transient-Party,51.0,G0124,Shane Walker,fmartinez@example.net
City Hotel,26,2017,April,7,0,2,2,0.0,0,FRA,0,0,D,Transient,188.0,G0125,Brittany Wilson,benjamin16@example.net
City Hotel,4,2017,March,14,0,1,1,0.0,0,ESP,0,0,A,Transient,103.0,G0126,Brian Gonzalez DDS,savageeric@example.org
Resort Hotel,117,2016,December,21,2,5,2,0.0,0,GBR,0,0,A,Transient,30.24,G0127,Yolanda Crawford,medinacharles@example.net
City Hotel,25,2017,January,19,1,3,2,0.0,0,FRA,0,0,A,Transient,90.74,G0128,Peter Mckinney,sydneygutierrez@example.net
Resort Hotel,96,2017,March,19,2,5,2,0.0,0,DEU,0,0,A,Transient-Party,34.0,G0129,Dr. Lynn Coleman DDS,smithdavid@example.net
City Hotel,4,2016,March,7,1,3,2,0.0,0,DZA,0,0,A,Transient-Party,106.0,G0130,Kristina Lawrence,christianmercado@example.net
City Hotel,65,2015,October,16,0,1,2,0.0,0,BRA,0,0,A,Transient,89.2,G0131,Eric Oneill,shawthomas@example.org
Resort Hotel,74,2016,March,20,1,0,1,0.0,0,DEU,0,0,D,Transient-Party,37.0,G0132,Samantha Chambers,smithheather@example.org
City Hotel,83,2016,May,1,2,2,2,0.0,0,FRA,0,0,A,Transient,75.0,G0133,Heather Anderson,angelagardner@example.org
Resort Hotel,293,2017,July,2,2,5,2,0.0,0,GBR,0,0,A,Contract,100.2,G0134,Patricia Campbell,shawbrandon@example.org
City Hotel,255,2016,June,14,0,1,1,0.0,0,PRT,0,0,A,Transient-Party,87.0,G0135,Brianna Quinn,elizabethmurray@example.org
Resort Hotel,88,2017,March,11,2,5,2,0.0,0,DEU,0,0,A,Transient-Party,34.0,G0136,Keith Duke,beasleyangela@example.net
City Hotel,292,2016,July,21,0,2,2,0.0,0,DEU,0,0,A,Transient-Party,115.0,G0137,Lisa Kim,andersontina@example.org
City Hotel,1,2016,August,14,1,0,2,1.0,0,PRT,0,0,A,Transient,208.0,G0138,Francis Fox DDS,ashleyarcher@example.net
Resort Hotel,0,2016,January,20,0,1,1,0.0,0,PRT,1,0,A,Transient,35.1,G0139,Patricia Lee,ydiaz@example.net
City Hotel,47,2016,September,18,2,2,2,0.0,0,FRA,0,0,D,Transient,119.52,G0140,Warren Sanford,laurie56@example.com
Resort Hotel,1,2017,February,6,1,0,2,0.0,0,PRT,0,0,E,Transient-Party,80.0,G0141,Joseph Gonzalez,calhounjames@example.net
Resort Hotel,21,2016,April,25,1,4,1,0.0,0,PRT,0,0,A,Transient,50.4,G0142,Melissa Price,hortondarren@example.net
City Hotel,84,2016,September,7,0,1,1,0.0,0,PRT,1,3,A,Transient,65.0,G0143,Jesse Swanson,leejulie@example.net
City Hotel,32,2015,November,20,0,2,1,0.0,0,PRT,0,0,A,Transient-Party,73.0,G0144,Maurice Berry,sanchezsteven@example.net
City Hotel,123,2017,March,28,0,5,2,0.0,0,GBR,0,0,A,Transient,79.64,G0145,Wesley Rivera,mwalker@example.net
Resort Hotel,364,2016,October,12,1,4,2,0.0,0,GBR,0,0,A,Transient-Party,86.0,G0146,Timothy Moore,riverachristopher@example.net
Resort Hotel,337,2016,October,9,2,5,2,0.0,0,GBR,0,0,D,Transient-Party,67.99,G0147,Tracy Mckenzie,ibryant@example.org
City Hotel,33,2017,June,6,0,2,2,0.0,0,CHL,0,0,D,Transient,150.0,G0148,Christina Morales,kristin00@example.net
City Hotel,41,2017,August,14,1,3,2,0.0,0,CN,0,0,A,Transient,131.2,G0149,Erin Hoffman,christopher41@example.net
City Hotel,0,2016,May,19,0,1,2,0.0,0,PRT,0,0,A,Transient,209.0,G0150,Michael Mack,alice59@example.org
City Hotel,6,2015,November,18,0,1,1,0.0,0,PRT,0,0,A,Transient-Party,65.0,G0151,Adam Miller,suzannesmith@example.org
Resort Hotel,47,2015,August,12,0,3,2,0.0,0,FRA,0,0,A,Transient,157.08,G0152,Matthew Ross,heather89@example.net
Resort Hotel,134,2015,July,9,2,5,2,0.0,0,GBR,0,0,A,Contract,88.4,G0153,Helen Freeman,lwood@example.com
Resort Hotel,2,2017,January,5,1,3,2,0.0,0,GBR,0,0,A,Transient,39.6,G0154,Megan Mcmahon,brian28@example.com
City Hotel,175,2016,August,2,0,4,3,0.0,0,GBR,0,0,D,Transient-Party,130.05,G0155,Jimmy Reed,susanpaul@example.org
City Hotel,30,2017,February,24,2,2,3,0.0,0,IRN,0,0,E,Transient,125.8,G0156,Brian Garrett,brian50@example.com
City Hotel,75,2016,June,26,2,2,2,0.0,0,PRT,0,0,A,Transient,77.03,G0157,Danielle Bennett,djones@example.org
Resort Hotel,31,2016,November,25,0,2,2,0.0,0,PRT,0,0,D,Transient,38.81,G0158,Austin Mora,peterssarah@example.net
City Hotel,9,2017,January,6,1,2,2,0.0,0,FRA,0,0,A,Transient,87.69,G0159,Tammy Berger,jacobgarcia@example.org
City Hotel,0,2015,September,7,1,2,1,0.0,0,SWE,0,0,A,Transient,96.27,G0160,Anthony Perez,fjimenez@example.net
City Hotel,38,2016,September,19,1,2,1,0.0,0,ROU,0,0,A,Transient,81.0,G0161,Ryan Reid,whendricks@example.net
City Hotel,222,2017,April,29,2,1,2,0.0,0,DEU,0,0,A,Transient,99.0,G0162,Jeffrey Pacheco,luis67@example.org
City Hotel,97,2017,May,1,1,5,2,0.0,0,CN,0,0,A,Transient,126.0,G0163,Patricia Murphy,priscillagriffith@example.org
City Hotel,49,2016,March,30,0,3,3,0.0,0,ESP,0,0,D,Transient,174.6,G0164,Chris Santiago,moyeranthony@example.com
Resort Hotel,1,2017,March,14,0,1,1,0.0,0,PRT,1,0,D,Transient,48.0,G0165,Caitlin Adams,alexiscraig@example.com
Resort Hotel,364,2016,October,12,0,4,2,0.0,0,GBR,0,0,A,Transient-Party,66.0,G0166,Wayne Ward,llee@example.org
City Hotel,89,2016,July,7,2,5,2,2.0,0,ITA,0,0,F,Transient,183.73,G0167,Mr. Eric Cummings,owensaaron@example.org
Resort Hotel,179,2015,November,8,2,5,2,0.0,0,GBR,0,0,A,Transient,26.33,G0168,Jennifer Meza,christopherhurst@example.net
Resort Hotel,41,2015,July,20,1,4,2,0.0,0,ESP,0,0,A,Transient,104.0,G0169,Michael Jones,robingraham@example.net
City Hotel,56,2016,June,20,1,2,2,0.0,0,NLD,0,0,A,Transient,99.9,G0170,Jesus Davis,rogerskelsey@example.net
City Hotel,15,2016,October,4,0,2,1,1.0,0,CHE,0,0,A,Transient,116.31,G0171,James West,barkernorma@example.net
City Hotel,1,2017,March,7,4,10,1,0.0,0,ITA,1,0,D,Transient,95.0,G0172,Bradley Reeves,philipglover@example.com
City Hotel,5,2016,March,21,1,1,1,0.0,0,ESP,0,0,A,Transient,89.0,G0173,Megan Lane,vgomez@example.com
Resort Hotel,3,2016,January,28,0,1,2,2.0,0,PRT,0,0,G,Transient,76.0,G0174,Margaret Marshall,suzannehogan@example.net
Resort Hotel,79,2015,July,29,2,5,2,0.0,0,ESP,0,0,A,Transient-Party,112.36,G0175,Tamara Miller,maxwell99@example.net
Resort Hotel,1,2017,May,6,2,1,2,0.0,0,DEU,0,0,A,Transient,76.67,G0176,Taylor Contreras,costaashley@example.net
Resort Hotel,177,2017,July,6,1,3,2,0.0,0,KWT,0,0,D,Transient,100.18,G0177,Kathryn Garcia,braybrian@example.com
Resort Hotel,84,2017,March,1,6,19,2,0.0,0,CN,0,0,A,Transient-Party,55.8,G0178,Gabriel Rodriguez,fdaniels@example.net
City Hotel,35,2016,April,17,2,2,2,1.0,0,FRA,0,0,A,Transient,104.3,G0179,Christina Turner,qsharp@example.com
Resort Hotel,119,2015,September,18,2,5,2,0.0,0,LVA,0,0,A,Transient,85.0,G0180,Teresa Davis,ashley30@example.org
City Hotel,43,2017,June,20,0,3,2,0.0,0,GBR,0,0,A,Transient,126.67,G0181,John Watson,dhubbard@example.net
City Hotel,27,2016,September,25,1,0,1,0.0,0,ITA,0,0,A,Transient,104.0,G0182,William Davis,jonathan73@example.com
City Hotel,177,2017,July,6,1,3,2,0.0,0,DEU,0,0,A,Transient,89.1,G0183,Jay Mitchell,jeremiahgonzales@example.com
City Hotel,4,2016,April,19,0,2,1,0.0,0,DEU,0,0,A,Transient,95.0,G0184,Brett Gonzalez,douglasward@example.net
City Hotel,76,2016,April,1,0,2,2,0.0,0,DEU,0,0,A,Transient,87.3,G0185,Dominique Dougherty,thomasangela@example.com
City Hotel,32,2016,September,2,1,2,2,0.0,0,GBR,0,0,E,Transient,116.64,G0186,Erin Jackson,lortega@example.org
City Hotel,53,2016,November,13,2,4,2,0.0,0,DEU,0,0,A,Transient,88.4,G0187,John Beck,louisroy@example.net
City Hotel,7,2017,January,25,0,1,1,0.0,0,ESP,0,0,A,Transient,78.4,G0188,David Davis,fernando90@example.org
Resort Hotel,11,2015,August,21,2,4,2,0.0,0,CHE,0,0,A,Transient,175.17,G0189,Tonya Johnston,mendezcrystal@example.org
City Hotel,50,2017,June,28,0,2,2,0.0,0,IRL,0,0,A,Transient,140.0,G0190,Barry Barnes,scottwright@example.net
City Hotel,346,2016,September,13,0,2,2,0.0,0,DEU,0,0,A,Transient-Party,115.0,G0191,Megan Rice,kgay@example.org
Resort Hotel,2,2016,January,4,1,4,2,0.0,0,ITA,0,0,E,Transient,56.4,G0192,Jeremy Ferguson,avilaanthony@example.net
City Hotel,45,2017,August,27,1,0,1,0.0,0,PRT,0,0,A,Transient-Party,115.0,G0193,Shane Kirk,anthonyglenn@example.org
Resort Hotel,163,2016,August,1,2,5,2,0.0,0,POL,0,0,E,Transient,140.76,G0194,Kimberly Moore,cruzdenise@example.org
Resort Hotel,34,2015,July,12,2,5,2,0.0,1,ESP,0,0,D,Transient,149.0,G0195,Dustin Watson,williamsmelvin@example.net
Resort Hotel,177,2016,July,9,2,6,2,0.0,1,PRT,0,0,A,Transient-Party,142.2,G0196,Mrs. Rhonda Decker,robert01@example.net
Resort Hotel,42,2015,July,27,1,4,2,0.0,0,ESP,0,0,A,Transient,133.0,G0197,Paige Frazier,jacksonterri@example.org
City Hotel,76,2015,September,16,0,2,2,0.0,0,PRT,0,0,A,Transient-Party,0.0,G0198,Lori Hendrix,omartinez@example.net
City Hotel,3,2017,June,15,1,3,2,0.0,0,FIN,0,0,A,Transient,177.5,G0199,Robert Davidson,christophersmith@example.org
